stop_id,stop_name,city,served_by,num_routes,latitude,longitude,verification_status,geocode_method
ST0114,Fauji Foundation,Lahore,Speedo,1,31.5001040,74.3949245,VERIFIED,original_pass
ST0115,Ali View Garden,Lahore,Speedo,1,31.4947637,74.4030953,VERIFIED,original_pass
ST0116,Bhatta Chowk,Lahore,Speedo,1,31.4875210,74.4120820,VERIFIED,original_pass
ST0117,DHA Nursery,Lahore,Speedo,1,31.500653,74.344921,VERIFIED,interpolated_between_neighbors
ST0118,LESCO,Lahore,Speedo,1,31.5137853,74.2777605,VERIFIED,original_pass
ST0119,Chota Ishara Stop,Lahore,Speedo,1,31.488413,74.321767,VERIFIED,interpolated_between_neighbors
ST0120,Naka Stop,Lahore,Speedo,1,31.4630416,74.3657727,VERIFIED,stripped_suffix_bounded
ST0121,Hakeem M. Ajmal Khan Road,Lahore,Speedo,1,31.546651,74.291067,VERIFIED,interpolated_between_neighbors
ST0122,Gulshan Ravi Road,Lahore,Speedo,1,31.5445700,74.2670416,VERIFIED,original_pass
ST0123,Kacha Ferozepur Road,Lahore,Speedo,1,31.5469703,74.2948505,VERIFIED,original_pass
ST0124,Circular Road,Lahore,Speedo,2,31.5881752,74.3198281,VERIFIED,original_pass
ST0125,Main Boulevard Shadman,Lahore,Speedo,1,31.5188285,74.3451816,VERIFIED,original_pass
ST0126,Davis Road,Lahore,Speedo,1,31.5564771,74.3397187,VERIFIED,original_pass
ST0127,Nisbat Road,Lahore,Speedo,1,31.5838921,74.3426800,VERIFIED,original_pass
ST0128,Abbot Road,Lahore,Speedo,1,31.573007,74.339597,VERIFIED,interpolated_between_neighbors
ST0129,Main Market,Lahore,Speedo,1,31.5242430,74.3460723,VERIFIED,original_pass
ST0130,Jail Road,Lahore,Speedo,1,31.5366787,74.3394136,VERIFIED,original_pass
ST0131,Lytton Road,Lahore,Speedo,1,31.5543775,74.3111000,VERIFIED,original_pass
ST0132,Crust Road,Lahore,Speedo,1,31.565204,74.307766,VERIFIED,interpolated_between_neighbors
ST0133,Lower Mall Road,Lahore,Speedo,1,31.5760299,74.3044321,VERIFIED,original_pass
ST0134,Jain Mandar,Lahore,Speedo,1,31.5306221,74.2963392,VERIFIED,nearest_neighbor_only
ST0135,Al-Mumtaz Road,Lahore,Speedo,1,31.5306221,74.2963392,VERIFIED,original_pass
ST0136,Poonch Road,Lahore,Speedo,1,31.5436498,74.3017473,VERIFIED,original_pass
ST0137,Lake Road,Lahore,Speedo,1,31.5582384,74.3067483,VERIFIED,original_pass
ST0138,Madar-e-Millat Road,Lahore,Speedo,2,31.4315851,74.3024085,VERIFIED,original_pass
ST0139,Ali Road,Lahore,Speedo,1,31.4496437,74.3141945,VERIFIED,original_pass
ST0140,Baig Road,Lahore,Speedo,1,31.4564302,74.2830176,VERIFIED,original_pass
ST0141,Canal Bank Road,Lahore,Speedo,1,31.5618262,74.3792288,VERIFIED,original_pass
ST0142,Thokar Niaz Baig,Lahore,Speedo,3,31.4810169,74.2382381,VERIFIED,original_pass
ST0143,Sutlej Avenue,Lahore,Speedo,1,31.4368906,74.2905554,VERIFIED,original_pass
ST0144,Shahrah Nazaria-e-Pakistan Avenue,Lahore,Speedo,1,31.458954,74.264397,VERIFIED,interpolated_between_neighbors
ST0145,Valencia,Lahore,Speedo,1,31.4066733,74.2582688,VERIFIED,original_pass
ST0146,Valencia Main Boulevard,Lahore,Speedo,1,31.3993852,74.2829551,VERIFIED,original_pass
ST0147,Khayaban-e-Jinnah,Lahore,Speedo,1,31.4665969,74.4298060,VERIFIED,original_pass
ST0148,Raiwind Road,Lahore,Speedo,1,31.4392555,74.2319337,VERIFIED,original_pass
ST0149,College Road,Lahore,Speedo,1,31.4399551,74.2925408,VERIFIED,original_pass
ST0150,Maulana Shaukat Ali Road,Lahore,Speedo,1,31.4720376,74.3029939,VERIFIED,original_pass
ST0151,Wahdat Road,Lahore,Speedo,1,31.4966845,74.2667125,VERIFIED,original_pass
ST0152,Lahore-Bedian Road,Lahore,Speedo,1,31.4851902,74.4175681,VERIFIED,original_pass
ST0153,Allama Iqbal Road,Lahore,Speedo,1,31.5812751,74.3321447,VERIFIED,original_pass
ST0154,G.T. Road,Lahore,Speedo,2,31.5967720,74.3138620,VERIFIED,original_pass
ST0155,Shalimar Link Road,Lahore,Speedo,2,31.5752013,74.3811753,VERIFIED,original_pass
ST0156,Tufail Road,Lahore,Speedo,1,31.4937339,74.2552971,VERIFIED,original_pass
ST0157,Sarfraz Rafique Road,Lahore,Speedo,1,31.540494,74.329919,VERIFIED,interpolated_between_neighbors
ST0158,Daroghawala,Lahore,Speedo,4,31.5872535,74.4045413,VERIFIED,original_pass
ST0159,BataPur,Lahore,Speedo,1,31.5964964,74.4913891,VERIFIED,original_pass
ST0160,GT Road,Lahore,Speedo,1,31.6088041,74.3031637,VERIFIED,original_pass
ST0161,Quaid-e-Azam Interchange,Lahore,Speedo,1,31.5796997,74.2913081,VERIFIED,stripped_suffix_bounded
ST0162,Harbanspura Road,Lahore,Speedo,1,31.5690248,74.4365533,VERIFIED,original_pass
ST0163,Zarar Shaheed Road,Lahore,Speedo,1,31.5487189,74.4045878,VERIFIED,original_pass
ST0164,Airport,Lahore,Speedo,2,31.5315331,74.4247837,VERIFIED,original_pass
ST0165,Niazi Interchange,Lahore,Speedo,1,31.5299190,74.4628661,VERIFIED,stripped_suffix_bounded
ST0166,Lahore Ring Road,Lahore,Speedo,1,31.6104764,74.4232641,VERIFIED,original_pass
ST0167,Band Road,Lahore,Speedo,1,31.5485131,74.2679361,VERIFIED,original_pass
ST0168,Sue Wala Road,Lahore,Speedo,1,31.5823454,74.3943533,VERIFIED,original_pass
ST0169,Salamat Pura,Lahore,Speedo,1,31.5829717,74.3866516,VERIFIED,original_pass
ST0170,Chamra Mandi,Lahore,Speedo,2,31.5809589,74.3372181,VERIFIED,original_pass
ST0171,Cooper Store,Lahore,Speedo,3,31.493848,74.303643,VERIFIED,interpolated_between_neighbors
ST0172,UET,Lahore,Speedo,1,31.4067365,74.2700682,VERIFIED,original_pass
ST0173,Shalimar Chowk,Lahore,Speedo,1,31.5645648,74.3332304,VERIFIED,original_pass
ST0174,Durand Road,Lahore,Speedo,1,31.5618302,74.3369642,VERIFIED,original_pass
ST0175,Queen Mary Road,Lahore,Speedo,1,31.5632838,74.3407695,VERIFIED,original_pass
ST0176,Garhi Shahu Bridge,Lahore,Speedo,1,31.5702387,74.3481851,VERIFIED,original_pass
ST0177,Workshop Road,Lahore,Speedo,1,31.5660114,74.3695991,VERIFIED,original_pass
ST0178,Mughalpura Road,Lahore,Speedo,1,31.5650089,74.3530829,VERIFIED,original_pass
ST0179,Mughalpura,Lahore,Speedo,2,31.5648672,74.3786096,VERIFIED,original_pass
ST0180,Singhpura,Lahore,Speedo,1,31.5788425,74.3751340,VERIFIED,original_pass
ST0181,Wheatman Road,Lahore,Speedo,1,31.5728017,74.3676493,VERIFIED,original_pass
ST0182,Griffin Road,Lahore,Speedo,1,31.5626398,74.3772056,VERIFIED,original_pass
ST0183,Lahore Railway Station,Lahore,Electro,1,31.5305468,74.3611247,VERIFIED,original_pass
ST0184,Police Lines,Lahore,Electro,1,31.5680465,74.3327538,VERIFIED,original_pass
ST0185,Roznama Jang,Lahore,Electro,1,31.538853,74.363365,VERIFIED,interpolated_between_neighbors
ST0186,Muslim League House,Lahore,Electro,1,31.515584,74.390216,VERIFIED,interpolated_between_neighbors
ST0187,Club Chowk,Lahore,Electro,1,31.4923160,74.4170670,VERIFIED,original_pass
ST0188,Governor House,Lahore,Electro,1,31.5568710,74.3354949,VERIFIED,original_pass
ST0189,Bagh-e-Jinnah,Lahore,Electro,1,31.5523964,74.3288503,VERIFIED,original_pass
ST0190,Charing Cross,Lahore,Electro,1,31.5595887,74.3245067,VERIFIED,original_pass
ST0191,Waris Road,Lahore,Electro,1,31.5486219,74.3198366,VERIFIED,original_pass
ST0192,Abid Market,Lahore,Electro,1,31.5507580,74.3158212,VERIFIED,original_pass
ST0193,Mozang,Lahore,Electro,1,31.5537450,74.3141492,VERIFIED,original_pass
ST0194,Fazlia Colony,Lahore,Electro,1,31.5261827,74.3259144,VERIFIED,original_pass
ST0195,Rehmanpura,Lahore,Electro,1,31.5227759,74.3188089,VERIFIED,original_pass
ST0196,Ichra Bridge,Lahore,Electro,1,31.5331029,74.3174360,VERIFIED,stripped_suffix_bounded
ST0197,Punjab College,Lahore,Electro,1,31.5811776,74.4790364,VERIFIED,original_pass
ST0198,New Garden Town,Lahore,Electro,1,31.5009512,74.3183917,VERIFIED,original_pass
ST0199,Campus Bridge,Lahore,Electro,1,31.5750266,74.3251623,VERIFIED,stripped_suffix_bounded
ST0200,Punjab University Gate No. 4,Lahore,Electro,1,31.4975572,74.3096146,VERIFIED,original_pass
ST0201,Shah Di Khoi,Lahore,Electro,1,31.542148,74.302997,VERIFIED,interpolated_between_neighbors
ST0202,Ravi Chowk,Lahore,Electro,1,31.5913049,74.3061859,VERIFIED,bbox_bounded_search
ST0203,Shook Chowk,Lahore,Electro,1,31.529463,74.306548,VERIFIED,interpolated_between_neighbors
ST0204,Township Bazaar,Lahore,Electro,1,31.468082,74.310433,VERIFIED,interpolated_between_neighbors
ST0205,Mochipora,Lahore,Electro,1,31.468542,74.313956,VERIFIED,interpolated_between_neighbors
ST0206,Model Town Link Road,Lahore,Electro,1,31.4690030,74.3174781,VERIFIED,original_pass
ST0207,Honda Morr,Lahore,Electro,1,31.5056289,74.3316634,VERIFIED,stripped_suffix_bounded
ST0208,Government Employees Society,Lahore,Electro,1,31.4414804,74.2861415,VERIFIED,original_pass
ST0209,Riphah University,Lahore,Electro,1,31.3780144,74.2318658,VERIFIED,original_pass
ST0210,Nursery Stop,Lahore,Electro,1,31.4688366,74.4140965,VERIFIED,stripped_suffix_bounded
ST0211,Green Town,Lahore,Electro,1,31.4320546,74.3074652,VERIFIED,original_pass
ST0212,Raiwind,Lahore,Electro,1,31.2443583,74.2138126,PARTIAL,original_pass
ST0213,Jinnah Terminal (Thokar Niaz Baig),Lahore,Electro,2,31.406692,74.325183,PARTIAL,interpolated_between_neighbors
ST0214,Harbanspura,Lahore,Electro,1,31.5690248,74.4365533,PARTIAL,original_pass
