transfer_id,stop_id,stop_name,routes_available,num_routes,cross_system_transfer,bus_types,verification_status
T0046,ST0093,Ichra,E-1|S-10,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0047,ST0113,Akbar Chowk,E-1|S-13,2,Yes,Electro|Speedo,VERIFIED (derived from verified route_stops data)
T0048,ST0124,Circular Road,S-16|S-18,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0049,ST0138,Madar-e-Millat Road,S-21|S-22,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0051,ST0154,G.T. Road,S-26|S-30,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0052,ST0155,Shalimar Link Road,S-26|S-30,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0054,ST0164,Airport,S-28|S-30,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0055,ST0170,Chamra Mandi,S-31|S-32,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0057,ST0179,Mughalpura,S-33|S-34,2,No,Speedo,VERIFIED (derived from verified route_stops data)
T0058,ST0213,Jinnah Terminal (Thokar Niaz Baig),E-2|E-3,2,No,Electro,VERIFIED (derived from verified route_stops data)
