route_id,stop_sequence,stop_id,stop_name,verification_status
S-10,11,ST0010,Qartaba Chowk,VERIFIED
S-11,1,ST0054,Babu Sabu,VERIFIED
S-11,2,ST0055,Niazi Adda,VERIFIED
S-11,3,ST0056,City Bus Stand,VERIFIED
S-11,4,ST0057,Chowk Yateem Khana,VERIFIED
S-11,5,ST0094,Scheme Morr,VERIFIED
S-11,6,ST0095,Flat Stop,VERIFIED
S-11,7,ST0096,Dubai Chowk,VERIFIED
S-11,8,ST0090,Bhekewal Morr,VERIFIED
S-11,9,ST0097,Sheikh Zaid Hospital,VERIFIED
S-11,10,ST0077,Campus Pull,VERIFIED
S-11,11,ST0078,Barkat Market,VERIFIED
S-11,12,ST0015,Kalma Chowk,VERIFIED
S-11,13,ST0098,Liberty Chowk,VERIFIED
S-11,14,ST0099,Hafeez Center,VERIFIED
S-11,15,ST0100,Mini Market,VERIFIED
S-11,16,ST0101,Main Market Gulberg,VERIFIED
S-12,1,ST0043,R.A. Bazar,VERIFIED
S-12,2,ST0102,PAF Market,VERIFIED
S-12,3,ST0103,Girja Chowk,VERIFIED
S-12,4,ST0104,Afshan Chowk,VERIFIED
S-12,5,ST0105,Fortress Stadium,VERIFIED
S-12,6,ST0106,Gymkhana,VERIFIED
S-12,7,ST0107,Aitchison College,VERIFIED
S-12,8,ST0108,PC Hotel,VERIFIED
S-12,9,ST0082,Lahore Zoo,VERIFIED
S-12,10,ST0083,Chairing Cross,VERIFIED
S-12,11,ST0109,GPO,VERIFIED
S-12,12,ST0110,Anarkali,VERIFIED
S-12,13,ST0007,Civil Secretariat,VERIFIED
S-13,1,ST0064,Bagrian,VERIFIED
S-13,2,ST0020,Ghazi Chowk,VERIFIED
S-13,3,ST0111,UMT Stop,VERIFIED
S-13,4,ST0112,Khokhar Chowk,VERIFIED
S-13,5,ST0113,Akbar Chowk,VERIFIED
S-13,6,ST0069,Pindi Stop,VERIFIED
S-13,7,ST0070,Peco Morr,VERIFIED
S-13,8,ST0072,Phatak Mandi,VERIFIED
S-13,9,ST0018,Ittefaq Hospital,VERIFIED
S-13,10,ST0016,Model Town,VERIFIED
S-13,11,ST0015,Kalma Chowk,VERIFIED
S-14,1,ST0043,R.A. Bazar,VERIFIED
S-14,2,ST0114,Fauji Foundation,VERIFIED
S-14,3,ST0115,Ali View Garden,VERIFIED
S-14,4,ST0116,Bhatta Chowk,VERIFIED
S-14,5,ST0117,DHA Nursery,VERIFIED
S-14,6,ST0118,LESCO,VERIFIED
S-14,7,ST0119,Chota Ishara Stop,VERIFIED
S-14,8,ST0120,Naka Stop,VERIFIED
S-14,9,ST0020,Ghazi Chowk,VERIFIED
S-14,10,ST0021,Chungi Amar Sidhu,VERIFIED
S-15,1,ST0010,Qartaba Chowk,VERIFIED
S-15,2,ST0121,Hakeem M. Ajmal Khan Road,VERIFIED
S-15,3,ST0122,Gulshan Ravi Road,VERIFIED
S-15,4,ST0123,Kacha Ferozepur Road,VERIFIED
S-15,5,ST0054,Babu Sabu,VERIFIED
S-16,1,ST0028,Railway Station,VERIFIED
S-16,2,ST0124,Circular Road,VERIFIED
S-16,3,ST0029,Ek Moriya,VERIFIED
S-16,4,ST0005,Bhatti Chowk,VERIFIED
S-17,1,ST0013,Canal,VERIFIED
S-17,2,ST0125,Main Boulevard Shadman,VERIFIED
S-17,3,ST0126,Davis Road,VERIFIED
S-17,4,ST0081,Shimla Pahari,VERIFIED
S-17,5,ST0080,Haji Camp,VERIFIED
S-17,6,ST0028,Railway Station,VERIFIED
S-18,1,ST0005,Bhatti Chowk,VERIFIED
S-18,2,ST0124,Circular Road,VERIFIED
S-18,3,ST0127,Nisbat Road,VERIFIED
S-18,4,ST0128,Abbot Road,VERIFIED
S-18,5,ST0081,Shimla Pahari,VERIFIED
S-19,1,ST0129,Main Market,VERIFIED
S-19,2,ST0130,Jail Road,VERIFIED
S-19,3,ST0131,Lytton Road,VERIFIED
S-19,4,ST0132,Crust Road,VERIFIED
S-19,5,ST0133,Lower Mall Road,VERIFIED
S-19,6,ST0005,Bhatti Chowk,VERIFIED
S-20,1,ST0134,Jain Mandar,VERIFIED
S-20,2,ST0135,Al-Mumtaz Road,VERIFIED
S-20,3,ST0136,Poonch Road,VERIFIED
S-20,4,ST0137,Lake Road,VERIFIED
S-20,5,ST0057,Chowk Yateem Khana,VERIFIED
S-21,1,ST0065,Depot Chowk,VERIFIED
S-21,2,ST0138,Madar-e-Millat Road,VERIFIED
S-21,3,ST0139,Ali Road,VERIFIED
S-21,4,ST0140,Baig Road,VERIFIED
S-21,5,ST0141,Canal Bank Road,VERIFIED
S-21,6,ST0142,Thokar Niaz Baig,VERIFIED
S-22,1,ST0065,Depot Chowk,VERIFIED
S-22,2,ST0138,Madar-e-Millat Road,VERIFIED
S-22,3,ST0143,Sutlej Avenue,VERIFIED
S-22,4,ST0144,Shahrah Nazaria-e-Pakistan Avenue,VERIFIED
S-22,5,ST0142,Thokar Niaz Baig,VERIFIED
S-23,1,ST0145,Valencia,VERIFIED
S-23,2,ST0146,Valencia Main Boulevard,VERIFIED
S-23,3,ST0147,Khayaban-e-Jinnah,VERIFIED
S-23,4,ST0148,Raiwind Road,VERIFIED
S-23,5,ST0142,Thokar Niaz Baig,VERIFIED
S-24,1,ST0086,Multan Chungi,VERIFIED
S-24,2,ST0149,College Road,VERIFIED
S-24,3,ST0150,Maulana Shaukat Ali Road,VERIFIED
S-24,4,ST0151,Wahdat Road,VERIFIED
S-24,5,ST0020,Ghazi Chowk,VERIFIED
S-25,1,ST0043,R.A. Bazar,VERIFIED
S-25,2,ST0152,Lahore-Bedian Road,VERIFIED
S-25,3,ST0153,Allama Iqbal Road,VERIFIED
S-25,4,ST0028,Railway Station,VERIFIED
S-26,1,ST0043,R.A. Bazar,VERIFIED
S-26,2,ST0154,G.T. Road,VERIFIED
S-26,3,ST0155,Shalimar Link Road,VERIFIED
S-26,4,ST0156,Tufail Road,VERIFIED
S-26,5,ST0157,Sarfraz Rafique Road,VERIFIED
S-26,6,ST0158,Daroghawala,VERIFIED
S-27,1,ST0159,BataPur,VERIFIED
S-27,2,ST0160,GT Road,VERIFIED
S-27,3,ST0158,Daroghawala,VERIFIED
S-28,1,ST0161,Quaid-e-Azam Interchange,VERIFIED
S-28,2,ST0162,Harbanspura Road,VERIFIED
S-28,3,ST0163,Zarar Shaheed Road,VERIFIED
S-28,4,ST0164,Airport,VERIFIED
S-29,1,ST0165,Niazi Interchange,VERIFIED
S-29,2,ST0166,Lahore Ring Road,VERIFIED
S-29,3,ST0167,Band Road,VERIFIED
S-29,4,ST0168,Sue Wala Road,VERIFIED
S-29,5,ST0169,Salamat Pura,VERIFIED
S-30,1,ST0158,Daroghawala,VERIFIED
S-30,2,ST0154,G.T. Road,VERIFIED
S-30,3,ST0155,Shalimar Link Road,VERIFIED
S-30,4,ST0164,Airport,VERIFIED
S-31,1,ST0158,Daroghawala,VERIFIED
S-31,2,ST0170,Chamra Mandi,VERIFIED
S-31,3,ST0171,Cooper Store,VERIFIED
S-31,4,ST0172,UET,VERIFIED
S-31,5,ST0173,Shalimar Chowk,VERIFIED
S-31,6,ST0032,Lari Adda,VERIFIED
S-32,1,ST0081,Shimla Pahari,VERIFIED
S-32,2,ST0174,Durand Road,VERIFIED
S-32,3,ST0175,Queen Mary Road,VERIFIED
S-32,4,ST0176,Garhi Shahu Bridge,VERIFIED
S-32,5,ST0171,Cooper Store,VERIFIED
S-32,6,ST0170,Chamra Mandi,VERIFIED
S-32,7,ST0029,Ek Moriya,VERIFIED
S-33,1,ST0171,Cooper Store,VERIFIED
S-33,2,ST0177,Workshop Road,VERIFIED
S-33,3,ST0178,Mughalpura Road,VERIFIED
S-33,4,ST0179,Mughalpura,VERIFIED
S-34,1,ST0180,Singhpura,VERIFIED
S-34,2,ST0181,Wheatman Road,VERIFIED
S-34,3,ST0182,Griffin Road,VERIFIED
S-34,4,ST0179,Mughalpura,VERIFIED
E-1,1,ST0183,Lahore Railway Station,VERIFIED
E-1,2,ST0080,Haji Camp,VERIFIED
E-1,3,ST0184,Police Lines,VERIFIED
E-1,4,ST0081,Shimla Pahari,VERIFIED
E-1,5,ST0185,Roznama Jang,VERIFIED
E-1,6,ST0186,Muslim League House,VERIFIED
E-1,7,ST0187,Club Chowk,VERIFIED
E-1,8,ST0188,Governor House,VERIFIED
E-1,9,ST0189,Bagh-e-Jinnah,VERIFIED
E-1,10,ST0082,Lahore Zoo,VERIFIED
E-1,11,ST0190,Charing Cross,VERIFIED
E-1,12,ST0084,Ganga Ram Hospital,VERIFIED
E-1,13,ST0191,Waris Road,VERIFIED
E-1,14,ST0192,Abid Market,VERIFIED
E-1,15,ST0193,Mozang,VERIFIED
E-1,16,ST0011,Shama,VERIFIED
E-1,17,ST0093,Ichra,VERIFIED
E-1,18,ST0194,Fazlia Colony,VERIFIED
E-1,19,ST0195,Rehmanpura,VERIFIED
E-1,20,ST0196,Ichra Bridge,VERIFIED
E-1,21,ST0197,Punjab College,VERIFIED
E-1,22,ST0198,New Garden Town,VERIFIED
E-1,23,ST0199,Campus Bridge,VERIFIED
E-1,24,ST0200,Punjab University Gate No. 4,VERIFIED
E-1,25,ST0076,Hailey College,VERIFIED
E-1,26,ST0075,IBA Stop,VERIFIED
E-1,27,ST0201,Shah Di Khoi,VERIFIED
E-1,28,ST0202,Ravi Chowk,VERIFIED
E-1,29,ST0203,Shook Chowk,VERIFIED
E-1,30,ST0113,Akbar Chowk,VERIFIED
E-1,31,ST0204,Township Bazaar,VERIFIED
E-1,32,ST0205,Mochipora,VERIFIED
E-1,33,ST0206,Model Town Link Road,VERIFIED
E-1,34,ST0207,Honda Morr,VERIFIED
E-1,35,ST0208,Government Employees Society,VERIFIED
E-1,36,ST0069,Pindi Stop,VERIFIED
E-1,37,ST0209,Riphah University,VERIFIED
E-1,38,ST0210,Nursery Stop,VERIFIED
E-1,39,ST0067,Hamdard Chowk,VERIFIED
E-1,40,ST0066,Minhaj University,VERIFIED
E-1,41,ST0211,Green Town,VERIFIED
E-2,1,ST0212,Raiwind,"PARTIAL - endpoints only, intermediate stops not yet published"
E-2,2,ST0213,Jinnah Terminal (Thokar Niaz Baig),"PARTIAL - endpoints only, intermediate stops not yet published"
E-3,1,ST0213,Jinnah Terminal (Thokar Niaz Baig),"PARTIAL - endpoints only, intermediate stops not yet published"
E-3,2,ST0214,Harbanspura,"PARTIAL - endpoints only, intermediate stops not yet published"
